Argile(%);Limon(%);Sable(%);Soil Texture
28;33;39;Clay loam
17;43;41;Loam
18;37;45;Loam
8;20;71;Sandy loam
17;22;60;Sandy loam
12;22;67;Sandy loam
8;11;80;Loamy sand
13;21;67;Sandy loam
15;20;66;Sandy loam
17;23;60;Sandy loam
42;31;26;Clay
16;27;57;Sandy loam
40;37;23;Clay
34;38;29;Clay loam
14;32;55;Sandy loam
48;37;15;Clay
19;28;53;Sandy loam
13;37;50;Loam
24;36;40;Loam
15;35;50;Loam
16;29;55;Sandy loam
9;16;75;Sandy loam
13;14;72;Sandy loam
13;17;69;Sandy loam
11;10;79;Sandy loam
15;19;66;Sandy loam
16;18;66;Sandy loam
15;20;65;Sandy loam
18;20;62;Sandy loam
42;28;30;Clay
31;28;41;Clay loam
32;26;43;Clay loam
17;25;58;Sandy loam
21;23;56;Sandy clay loam
46;28;26;Clay
10;22;69;Sandy loam
9;15;76;Sandy loam
4;11;85;Loamy sand
45;29;25;Clay
37;26;36;Clay loam
30;39;31;Clay loam
35;29;35;Clay loam
36;26;38;Clay loam
32;33;35;Clay loam
28;33;40;Clay loam
36;25;40;Clay loam
39;28;33;Clay loam
30;25;45;Clay loam
37;25;38;Clay loam
20;20;60;Sandy clay loam
17;18;65;Sandy loam
31;24;45;Clay loam
32;14;55;Sandy clay loam
24;41;35;Loam
25;39;36;Loam
12;31;57;Sandy loam
20;30;50;Loam
19;42;39;Loam
23;38;38;Loam
27;43;30;Loam
19;29;52;Loam
13;25;62;Sandy loam
8;20;71;Sandy loam
25;41;34;Loam
32;31;37;Clay loam
33;18;49;Sandy clay loam
39;17;44;Clay loam
33;19;48;Sandy clay loam
5;20;75;Sandy loam
5;20;75;Sandy loam
21;45;34;Loam
25;29;46;Loam
2;14;84;Loamy sand
22;35;42;Loam
26;27;48;Sandy clay loam
30;45;25;Clay loam
27;34;39;Loam
16;21;62;Sandy loam
2;21;78;Loamy sand
8;20;72;Sandy loam
12;20;67;Sandy loam
17;16;67;Sandy loam
14;23;64;Sandy loam
13;17;70;Sandy loam
22;21;57;Sandy clay loam
16;20;64;Sandy loam
9;11;80;Loamy sand
14;16;70;Sandy loam
14;19;67;Sandy loam
21;20;59;Sandy clay loam
31;23;46;Sandy clay loam
12;48;40;Loam
30;48;22;Clay loam
33;29;38;Clay loam
15;16;69;Sandy loam
8;17;75;Sandy loam
15;40;46;Loam
8;19;72;Sandy loam
16;17;68;Sandy loam
17;15;67;Sandy loam
23;38;39;Loam
23;38;39;Loam
4;12;84;Loamy sand
30;32;38;Clay loam
19;33;48;Loam
18;40;42;Loam
20;32;48;Loam
29;22;49;Sandy clay loam
17;29;54;Sandy loam
7;13;80;Loamy sand
23;24;52;Sandy clay loam
10;25;65;Sandy loam
24;35;41;Loam
24;26;51;Sandy clay loam
5;14;81;Loamy sand
21;27;52;Sandy clay loam
24;35;41;Loam
27;40;33;Loam
6;19;75;Sandy loam
6;20;74;Sandy loam
14;20;67;Sandy loam
9;27;64;Sandy loam
39;35;26;Clay loam
9;15;76;Sandy loam
48;35;18;Clay
24;12;64;Sandy clay loam
12;9;79;Sandy loam
12;25;62;Sandy loam
6;14;80;Loamy sand
16;17;67;Sandy loam
33;27;40;Clay loam
31;25;44;Clay loam
17;25;58;Sandy loam
34;25;41;Clay loam
34;25;41;Clay loam
35;17;47;Sandy clay
15;17;68;Sandy loam
34;16;50;Sandy clay loam
34;18;48;Sandy clay loam
36;17;47;Sandy clay
42;23;35;Clay
44;19;37;Clay
47;23;30;Clay
21;20;58;Sandy clay loam
27;19;53;Sandy clay loam
37;34;29;Clay loam
23;30;47;Loam
33;20;47;Sandy clay loam
35;43;22;Clay loam
12;19;69;Sandy loam
31;22;47;Sandy clay loam
6;17;77;Loamy sand
18;27;55;Sandy loam
6;24;70;Sandy loam
8;14;79;Loamy sand
10;18;72;Sandy loam
10;11;79;Sandy loam
21;35;44;Loam
17;28;55;Sandy loam
8;17;74;Sandy loam
32;19;49;Sandy clay loam
26;26;47;Sandy clay loam
11;32;58;Sandy loam
10;15;75;Sandy loam
8;18;74;Sandy loam
12;28;60;Sandy loam
6;8;87;Loamy sand
25;22;53;Sandy clay loam
47;39;14;Clay
44;39;17;Clay
44;39;17;Clay
26;35;39;Loam
36;40;24;Clay loam
40;37;23;Clay
32;45;24;Clay loam
23;24;53;Sandy clay loam
27;35;38;Loam
6;32;62;Sandy loam
6;16;79;Loamy sand
4;14;82;Loamy sand
7;36;57;Sandy loam
25;38;37;Loam
38;40;22;Clay loam
7;23;70;Sandy loam
6;10;84;Loamy sand
6;15;79;Loamy sand
8;23;68;Sandy loam
14;45;41;Loam
19;43;38;Loam
16;28;55;Sandy loam
16;18;66;Sandy loam
5;16;78;Loamy sand
7;9;84;Loamy sand
11;15;74;Sandy loam
11;18;71;Sandy loam
31;19;51;Sandy clay loam
6;11;84;Loamy sand
45;21;34;Clay
6;5;89;Sand
15;16;69;Sandy loam
7;16;77;Sandy loam
9;19;72;Sandy loam
7;12;81;Loamy sand
34;26;40;Clay loam
27;19;54;Sandy clay loam
13;17;70;Sandy loam
8;3;89;Loamy sand
8;15;77;Sandy loam
7;13;80;Loamy sand
5;9;86;Loamy sand
16;19;65;Sandy loam
7;15;78;Loamy sand
39;18;43;Clay loam
26;13;61;Sandy clay loam
29;18;53;Sandy clay loam
13;11;76;Sandy loam
45;16;39;Clay
34;27;39;Clay loam
